Fon,French,polarity
e hùn káká wá gɔ̆n cè,il a fait tout son possible pour venir chez moi,0
e nɔ w'azɔ ɖo nusatɔ lɛ gɔn,il travaille chez les commerçants,1
ɛɛn un ɖo xwe gbe,oui je suis chez moi,0
mɛ gɔ́n a xwè,chez qui vas-tu,0
un bɛ sìn ɖò gɔ̆n tɔ̀n,je me suis réfugié chez lui pour m'abriter de la pluie,1
un mɔ ɛ̀ ɖ'àlì mìtɔ́n xò,je l'ai vu sur la route de chez nous,0
un nɔ yi gɔ́n tɔn ɖáyi,j'allais chez lui,0
wá gɔ́n ce bó,viens donc chez moi,1
xɔ towe mɛ dó zìnflú,il fait sombre chez toi,-1
xwe ce sin aga,au-dessus de chez moi,0
e ɖó bà n'í,il l'a chicotté,-1
cuku dagbe wɛ,c'est un bon chien,1
e nyi cuku ă,ce n'est pas un chien,0
awu cè bì wóló,ma chemise est toute chiffonnée,-1
é yì hă mɛ hú jigán,il est plus collant qu'une chique,-1
é sɛ́ sɛ́ dó klɛɛ́n cé jí,il m'a donné une chiquenaude sur la joue,-1
yĕ càn kɛkɛ́,ils ont fait un choc à vélo en se rencontrant,-1
cyán ɖè é jló wé é,choisis ce que tu veux,1
hòxónɔ́ ou hòxó nɔ́ bà nakí ă é nɔ́ yí cyán nŭ,la mère des jumeaux ou les jumeaux ne va pas chercher du bois elle va choisir la chose,1
mɛ ɖe a ze ɔ jlo mi a,celui que tu as choisi ne me plaît pas,-1
vi ɔ ɖo yɛ lɛ ze wɛ,l'enfant choisit les images,0
azɔ̆ ɖ'así tɔ̀n ă,il est au chômage,-1
e mɔ̀ nùɖé wà ă,il est au chômage,-1
nù nɛ́ ɔ́ vɛ́ nú mì,cela m'a choqué,-1
ayì tɔn bà nŭ,il se doutait de quelque chose,0
é hlɛ́n nŭ nú asɛ́ɛ̀n,il a offert quelque chose nourriture aux asɛ́ɛ̀n,1
é wà nŭ vlɛ́kɛ́sɛ́,il a fait une chose de peu d'importance,0
kpo na xɔ nu kpɛɖe,et je vais acheter quelque chose,1
nu a ze ali ɔ ɖu nuɖe,si tu prends la route mange quelque chose,1
nù ɖĕ ɖò kpíkpácá mí wɛ̀ ɖò xó mitɔn mɛ̀,il y a une chose qui m'étonne dans ce que vous avez dit,-1
nu ɖopko ɔ wɛ,c'est la même chose,0
nùɖé wá wé ɖò gbɛmɛ fí hŭn bo tuwun ɖɔ̀ byɔ̀wá wɛ̀,si quelque chose t'arrive dans ce monde il faut savoir que c'est le destin,1
un ɖò ajiji mɛ̀ bɔ̀ nù ɔ̀ wá mì,je ne m'y attendais pas et la chose m'est arrivée,0
un tuun nu gege ɖo gbɛ tɔn ji a,je ne connais que peu de choses sur sa vie,0
vi nyi nu,l'enfant est une chose précieuse,1
xó ɖé tíín à,as-tu quelque chose à me dire,0
a nà dó wà nŭ kristáun ɖɔhun wú wɛ̀ a ɖò fí wá wɛ́ à,est-ce pour faire comme les chrétiens,0
é húzú klistáwun,il s'est converti au christianisme,0
ayijijɛ ku tɔn,une chute mortelle,-1
bo ɖɔ̀ wèkwín ɖokpó élɔ́ nú mì,dis-moi donc cette lettre-ci,1
mɛwi elɔ lɛ,ces africains-ci,0
vi elɔ,cet enfant cet enfant-ci,0
e dà tú akpó,il a tiré un coup de fusil et il a raté la cible,0
atínkɛ́n élɔ́ nɔ́ yá wŭ hu akpà,ce médicament cicatrise vite les plaies,1
e yì sɛ́xwé,il est allé au ciel,1
sunvi lɛ ɖo kikɛn wɛ ɖo jixwe,les étoiles brillent dans le ciel,1
xɛ ɔ́ ɖò àgà dɔ̀n vwéé,l'oiseau est très haut dans le ciel,1
eo azɔnunu ɖokpo,non une cigarette,0
xwe wo ɖie ɔ yewunkɔnnyiɖowuxwe ɖokpo ɖo ali elɔ ji,il y a dix ans il y avait un cinéma dans cette rue,1
billy kpɛvi ɔ e ɖo xwe tennɛ bɔ carol ɖo xwe atɔɔn,le petit billy a déjà neuf ans et carol a cinq ans,1
karol ɖo xwe atɔɔn,carol a cinq ans,1
sɔ́ kpɔ́wun wè d'é jí,ajoute cinquante francs,0
un ná kpɔ́wun wɛ̆nɛ̀,je donne trois cent cinquante francs,0
e ná gbo ada n'í,on va le circoncire,1
nyaví élɔ́ kó gbò cɔn tɔ̀n ă,cet enfant n'est pas encore circoncis,0
o mi na ɖɔ xo ɖo adagbigbo sunnu lɛ tɔn ji,oh nous allons parler de la circoncision des hommes,1
é dán gbɔ̀n fí,il a circulé par ici,0
e ɖò dò dɔ̀n nú tɔ ɔ́,il est au fond de la citerne,0
yovozɛntin kpodo kletin kpo nɔ su ɖo yozo to mɛ,l'oranger et le citronnier poussent dans les pays chauds,1
azɔn ɖokpó ɔ́ nyɔ̀ɖaxó ɔ́ jɛ̀ nukúnnú mɔ́ jí,aussitôt le vieillard commença à voir clair,1
é hɔ́n wĕ,il fait clair,1
fí bì zàwé,il fait bien clair,1
gbe tɔn zìn,sa voix est claire,1
gbɛmɛ zàwĕ,il fait clair,1
mɛ jɛ̀ ká wɛ̀,il a le teint clair,1
sin ɔ we,l'eau est claire,1
sunhwlehwle ɖie,il y a clair de lune,1
xɔ ɔ mɛ́ zàwĕ,il fait clair dans la chambre,1
xo tɔn mɛ wé ă,il n'est pas clair,-1
đɔ̀ xó ɔ́ bó gbò hɔ̀n ná,exprime clairement ta pensée,1
wă ɖɔ̀ xó ɔ́ xéɖéxéɖé má sè,viens me dire clairement l'affaire que je sache,1
đa tɔn jò,ses cheveux sont clairsemés,0
e tùn hɔn ɔ́ ɖ'ádàn wú,il a claqué la porte violemment,-1
azɔmɛxɔ azɔmɛvi lɛ tɔn nyɔ ɖɛkpɛ,la classe des élèves est belle,1
etɛ mi nɔ mɔ ɖo azɔxɔ ɔ mɛ,que voyez-vous en classe,0
mi nɔ yi azɔxɔ mɛ bo na ɖo kplɔn wema,nous allons en classe pour étudier,1
sú hɔ̀n bo dó gan mɛ̀,ferme la porte à clé,1
é ɖò myɔ tá wɛ́ nyɛ́wúnnyɛ́wún,il allume une lampe clignotante,0
é nɔ zaan ɖé din ɔ́ gan ná xò,il reste un peu et la cloche sonnera,1
gan wewe xo ɖo gletoxo mɛ,midi sonne au clocher du village,1
e ɖo na blo kpa ɖo xwe ɔ,il faudra entourer la maison d'une clôture,1
gan wɛ blo hunjɛn lɛ bɔ ye ɖo ko jɛ wɛ,les clous sont en fer et ils rouillent,0
e ká agbaza jezú tɔn ɖ'aklúzú jí,on a cloué le corps de jésus sur la croix,-1
nɔ ce'sísí wɛ̀,c'est la co-épouse de ma mère,0
mi ɖo agɔnkɛ ɖu wɛ,nous mangeons des noix de coco,1
ye yi agɔnkɛ j'ayi lɛ bɛ gbe,ils vont ramasser les cocos tombés,1
mɛ nyi mɛ ɖo agɔnkɛtin ɔ gwlɛ lɛ,quelles sont les personnes qui sont sous le cocotier,0
un kɔn ami ɖo nu ɖa gannu ɖaxo mɛ bo ze ɖo ado ji,dans une grande cocotte je mets l'huile à chauffer,0
é hɛ̀n hŭn nú mì,cela me tient à coeur,1
é tuwùn wèmá tɔ́n dó ta mɛ̀,il sait sa leçon par coeur,1
kpódó ayi towe bì kpán,de tout ton coeur,1
un sɔ́ ayi ce jé nú wè,je te donne mon coeur,1
xomɛ kɛɖɛ́ wɛ̀ ɖò sinsin mi wɛ̀,je n'ai que de la colère au coeur,-1
e nyà glŏ mì,il m'a cogné,-1
e yà glŏ mì,il m'a cogné,-1
a blă ɖa ɖagbe,tu es bien coiffé,1
ta nɔ ɖo te bɔ e nɔ xwe aza nu koli a,on ne laisse pas la tête pour coiffer le genou a tout seigneur tout honneur,1
a ɖŏ ɖa ɖagbe,ta coiffure est belle pour un homme,1
đabiblá tówé nyɔ́ ɖɛkpɛ̀,ta coiffure est belle pour une femme,1
é ɖò gɔngɔn mɛ̀,il est dans un coin,0
e ɖò gogwe mɛ̀,il est dans le coin,0
é ɖò nùswé,il est dans le coin,0
zé é nyì zwe mɛ̀,jette-le dans un coin,0
nùkpédónùnú wɛ̀,c'est une coïncidence,0
cuku ɔ wa agun ɔ tɛntin kpodo xomɛsinsin kpo,le chien est venu au milieu de la foule en colère,-1
é dó gbe kaɖakaɖa nú mì,il m'a parlé avec colère,-1
e nɔ́ yá wŭ sin xomɛ̀,il se met vite en colère,-1
hwetɛnu a sin xomɛ,quand t'es-tu mis en colère,0
nɛ a sin xomɛ gbɔn,comment t'es-tu mis en colère,0
un tuun nuɖe zɔn xomɛsinsin yetɔn a,j'ignore la cause de leur colère,0
xomɛ gblé è,il se mit en colère,-1
xomɛ kɛ́ɖɛ́ wɛ̀ ɖò sinsin mi wɛ̀,je n'ai que de la colère au coeur,-1
xomɛ sin we à - ɛɛn un sin xomɛ dó wŭ we dín,tu es en colère - oui je suis très en colère contre toi,-1
xomɛ nɔ wlí mì,j'ai la colique,-1
nukún tɔ́n tlɛ́,son oeil est collé,-1
e ɖíɖá xó bó jɛ̀ toxomɛ̀,il a colporté l'histoire en ville,-1
é nɔ́ jlá nŭ,elle colporte des marchandises,1
a ma mɔ̀ fí do è un yi jɛ̀ có bó lɛ́ kɔ é à,as-tu vu en combien d'endroits je suis allé avant de revenir,0
akwɛ́ nabí ká ná kpé wè,combien d'argent te faudra-t-il,0
azăn nabí é ká ná xɔ̀,combien de jours cela durera-t-il,0
azɔn nabi,combien de fois,0
bì nyí nabí,ça fait combien,0
ɛɛn nabí a nă,oui combien donnes-tu,0
ganxixo nabí mɛ̀ a na wă,dans combien d'heures viendras-tu,0
lyónɔ nabí a nɔ sà,marchande d'akassa combien le vends-tu,0
mi mɛ nabi wɛ ɖo xwe mitɔn gbe,combien êtes-vous à la maison,0
nabi a na,combien donnes-tu,0
nábí a nɔ sà yovózɛn towe,combien vends-tu tes oranges,0
nabí a nɔ yí,combien prends-tu argent,0
nabí e nɔ sà,combien le vend-on,0
nabí é xɔ̀,combien cela vaut-il,0
nabí un ɖu dó wè,combien te dois-je,0
nabí wɛ̀ gbadé ɔ́ gannú tɔ́n xɔ̀,combien vaut le maïs,0
sin hwetɛnu mi ɖo enɛ ɔ blo wɛ,depuis combien de temps faites-vous cela,0
vĭ nabí a jì,combien d'enfants as-tu eu,0
vi nabi e ɖo,combien a-t-il eu d'enfants,0
wɔ̀xúxú nabí gbé ɖíè - wɔ̀xúxú ɖɔ̌la wĕwè gbe wɛ̀,c'est du pain à combien - ce sont des pains à soixante francs,0
nyaví élɔ́ nɔ́ vlɛ́ manahɛn dín,cet enfant joue trop la comédie,1
axizɔ́n wὲ,c'est une chose commandée au marché,0
nyì măwù sɛ́n lɛ́,observe les commandements de dieu,1
azɔ̆ ɖĕ a zɔ̀n mí ɔ́ un kó bló hŭn,j'ai pourtant fait le travail que tu m'avais commandé,1
e zɔ́n azɔ̆ mì,il m'a commandé un travail,0
găn ɖè nɔ́ kp'acɛ ɖò sɛhwɛ é wɛ́ zɔ́n mì,c'est le chef qui commande à sèhouè qui me l'a demandé,1
yeɖɛ lɛ wɛ e nɔ zɔn,c'est eux-mêmes qu'on commande,0
a ɖò to ɔ jí wooó ɖɔ́hùn,tu es dans le pays comme l'harmattan on te voit partout,0
a ma yì gɔ̆n tɔ̀n à ɔ́ é ná hwɛ́n ɖɔ̀ a dó vɛ̀ n'í ɖɔ́hùn,si tu ne vas pas chez lui c'est comme si tu le méprisais,1
a mɔ̀ nùɖé hŭn nyí mamɔtɔ́,si tu vois quelque chose fais comme si tu ne voyais rien,0
a na wa nyla hun ye ɖɔhun,tu deviendras méchant comme eux,-1
a nɔ gbɔjɛ́ nyibú'súká ɖɔ́hùn,tu respires comme un taureau brave,-1
acosú ɖésú wɛ́ nyí năwè élɔ́,cette femme est comme un vrai jeune homme plein d'entrain,-1
azɔn tɔn ɖò mɔ̆mɔ̆,sa maladie est comme ci comme ça,-1
blŏ gbɔ̀n lĕ,fais comme ceci,0
có yì jɛ́n yì bó bló lĕ axɔ́sú ɖɔ́ gbɔ́n lé,il y alla pourtant et fit comme le roi l'avait dit,1
đĕe a yi bo wa ɔ́ é víví nú mí tlálá,comme tu es revenu je suis très content,1
ɖa tɔn cí kɛyɛɛ̀ aziza ɖa ɖɔ́hùn,ses cheveux sont ébouriffés comme la chevelure d'azizà,-1
e blo ɖi e kun nɔ mɔ mi o ɖɔhun,il a fait comme s'il ne me voyait pas,-1
é bló ganjí,il a fait comme il convient,0
é bló mɔ̆ tɔ̀n,il a fait comme ça,0
é cí ɖɔ̀ é kún tuwun nù ɔ́ ó ɖɔ́hùn,c'est comme s'il ne savait pas cela,0
e cí mɛ ɖè lɛ́ ɖɔ́hún ă,il n'est pas comme les autres personnes,0
é ɖà ayikún bó ɖù cɛ́xwlɛ tɔ̀n,elle a préparé du haricot et l'a mangé comme ça sans assaisonnement,-1
e hwɛ́n dɔ̆nkpɛ̀,il est comme un jeune homme,1
e nɔ mɔ̆,cela suffit comme ça,1
e su ɖi dada tɔn ɖɔhun,il est grand comme sa sœur,1
é sú xó hawùn ɖì avùn ɖɔ́hùn,il a crié comme un chien,-1
enɛ́,c'est comme ça,0
jujɔ ce nɛ́,je suis comme ça,0
kpɔ́n lĕe azɔ̆ gègé kpó gbɔ́n lé,regarde comme il reste beaucoup de travail,0
lĕe a ɖɔ̀ gbɔ̀n a ní nyí mɔ̌,qu'il en soit comme tu as dit,0
lĕe a jló gbɔ́n lé,comme il te plaira,0
lĕè mì ɖè ɔ̀ ɖíè,voici comme nous sommes on emploie encore cette formule lorsqu'on est en train de manger pour s'excuser auprès d'un visiteur,0
lĕe nyɛ lin gbɔn e ɔ́,comme j'ai pensé,0
lĕe tɔ́ cé sɛ́ mí dó ɔ́ mɔ̀ jɛ́n nyɛ lɔlɔ́ mɔ̀ sɛ́ mi dó,comme mon père m'a envoyé moi aussi je vous envoie,0
mɔ̀ ká wɛ̀,c'est comme cela,0
mɔ̆ un jɔ̀,je suis comme ça,0
mɔ̆ wɛ̀,c'est comme cela,0
mɛ mɔhún kpítí ă,des personnes comme celle-là ne sont pas très nombreuses,1
nu jɛ́n wɛ̀ ɖè zanu ɖɔ́hùn,il est bavard comme quelqu'un de za,-1
nù nyí mɔ̆,c'est comme cela,0
nyɔ̀nú lɛ́ mɔ̆ wɛ̀ yĕ jɔ̀,les femmes sont comme ça,0
un ɖò kɛ́n ɖokpó,je suis comme ci comme ça,0
un ɖò kɛ́n ɖokpó agɔnkɛ́tín ɖɔ́hùn,je suis comme-ci comme-ça comme un cocotier,0
xɔ gbakun ɖokpo nu mi ɖi enɛ ɔ ɖɔhun,achète-moi un chapeau comme celui-là,1
sín hwenu ɖĕ mì kplé ɔ ́ é wɛ́ ɖɔ̀ xó káká jɛ din,depuis le commencement de la réunion il n'a pas cessé de parler,0
ama lɛ́ ɖò zinzɔ́n wɛ̀,les feuilles commencent à s'épanouir,1
ayĭ ɖò kinkɛn wɛ̀,il commence à faire jour,1
aziín jɛ̀ lă,l'arachide a commencé à faire des fleurs,1
e jɛ̀ azɔ tɔn wa jí,il a commencé son travail,1
e jɛ̀ susu jí,il commence à grandir,1
gbɔ̆nvɛ lɛ́ jɛ̀ yè mɛ́ jí,les guêpes commencent à les piquer,-1
hwetɛ́nu mi ná jɛ̀ nùwíwá ɔ́ jí,quand allez-vous commencer la cérémonie,0
jì wlí,la pluie a commencé,0
mi ɔ jan bɛ hwɛ mɛvo,nous allions commencer sans toi,0
mi su hɔn ɖee ji ɔ bɛ ɔ,nous avons fermé la porte quand la pluie a commencé,1
un jɛ̀ nù mɔ́ jɛ́ mɛ́ jí,je commence à comprendre,1
zăn bɔ̀,il commence à faire nuit le moment qui suit le crépuscule,0
a ɖò ganjí à,comment vas-tu,0
a nɔ bló gbɔ̀n alɔkpa e jló wé é,tu fais n'importe comment,-1
a tuwùn le e nɔ zán gbɔ́n ɔ́ à,sais-tu comment l'utiliser,0
é kán byɔ́ ɖɔ̀ nɛ̆ a nɔ nyí ájí,il a demandé comment tu t'appelles,0
e nɔ yì toxɔ́sú gɔ́n kplikplì ă,on ne va pas chez le chef n'importe comment,0
é sún manamana ɖó xó ɔ́ wú,il ne sait plus comment se tirer d'affaire,-1
enyí towe wɛ ɔ́ nɛ ̆ a na bló gbɔ̀n,si c'était à toi comment ferais-tu,0
ján nɛ̀ tɔ́ tówé nyí - tɔ́ cé nyí daá nɔ ce ɔ́ nyí nănà,jean comment s'appelle ton père - mon père s'appelle daá ma mère s'appelle nănà on ne livre pas ainsi le nom des siens,0
kplɔ́n mì lĕe un na bló gbɔ̀n bó ná jɛ̀ gùdó tówé lé,apprends-moi comment faire pour marcher à ta suite,1
lĕè é bló gbɔ́n ɔ́ ɖíè,voici comment il s'y est pris,1
lĕe é nɔ́ cí gbɔ́n ɔ́ nɛ́,voilà comment il est,0
nɛ a fɔn gbɔn,comment est-ce que tu t'es réveillé,0
nɛ̆ a jlo na ylɔ́ vì tówé ɖɔ̀,comment veux-tu appeler ton enfant,0
nɛ̆ a ka lin gbɔ̀n,comment as-tu pensé,0
nɛ e nɔ nyi,comment s'appelle-t-il,0
nɛ̆ e nɔ ylɔ́ ɛ́ ɖɔ̀,comment s'appelle-t-il,0
ne e no wa xwe towe gbe gbon,comment venir chez toi,0
nɛ mɛ towe lɛ fɔn gbɔn,comment va la famille,0
nɛ mi ɖe gbɔn,comment allez-vous,0
nɛ wɛ azinzɔnnɔ ɔ ka ɖe,comment va donc le malade,0
nɛ̆ wɛ̀ nyì tɔ́n nyí,comment s'appelle-t-il,0
nɛ̀ yí gbɔ́n wɛ̀ nù lɛ́ ká ɖè,comment vont les affaires,0
patrick wɛ nɛ a fɔn gbɔn,c'est patrick comment ça va,0
un nu sìn égbé tɔ̀n,ça va aujourd'hui demain je ne sais comment je serai,1
yé ɖù to ɔ kwɛ́ dó yacó mɛ̀,ils ont dépensé l'argent de l'état n'importe comment,-1
é nɔ́ wà gbadé'jɔ́,il fait le commerce du maïs,1
e víví há ɖésú,il est d'un commerce très agréable,1
nyɔ̀nú élɔ́ ajɔ nɔ myá nukún n'í,cette femme a la passion du commerce,1
afɔ wɛ̀ é dó gbĕ,elle a commis l'adultère,-1
é d'áfɔ gbĕ,elle a commis l'adultère,-1
hwɛ tɛ́ nya élɔ́ hù,quelle faute cet homme a-t-il commise,0
akpálwe kpódó logozo kpán kpé dó gle ɖokpó,la perdrix et la tortue avaient un champ en commun conte,0
mi na kpé dó wemá élɔ́,vous aurez ce livre en commun,0
togun e mɛ gbɛtɔ ɖe e bɔ nukɔn yiyi tɔn kpo nyɔna tɔn kpo na tɔn sin mɛ é ɔ̀ é ɖo na ɖo nunɔmɛɖè lɛ do wǔ tɔn,l'individu a des devoirs envers la communauté dans laquelle seul le libre et plein développement de sa personnalité est possible,1
un sɔ́ xó nɛ́ ɔ́ slé kɔmyɔ́wún cé nukɔntɔn ɔ jí,je le jure sur ma première communion,1
mi na jla gbɔn internet ji,nous communiquons par internet,1
gbɛtɔ́ sùkpɔ́ bó ɖò cícící,il y a une foule compacte,-1
e nyɔ́ ɖɛkpe hú há tɔ́n lɛ́ bĭ,elle est plus belle que toutes ses compagnes,1
fí tɛ́ mɛ towe ɖè ɔ́ ɖè,où est ton compagnon,0
é jlɛ́ nŭ dó nù wú,il a fait une comparaison,0
e jlɛ́ mí dó azètɔ́ wù,il m'a comparé a un sorcier,-1
e nyi azɔ̀ cé ɖé ă,ce n'est pas de ma compétence,0
e tuwùn azɔ́ tɔ̀n,il est compétent,1
a fɔn bi à,est-ce que tu t'es réveillé complètement,0
akwɛ́ cé vɔ́ bĭ kpátákpátá,mon argent est terminé complètement,-1
ayi tɔ̀n bì gbà dó,son coeur est complètement troublé,-1
azɔn gbɔ n'i bi,il est complètement guéri,1
dose kɛ́ɖɛ́ jɛ́n sixú gbɔ̀ jló nɛ́ ɔ́ nú gbɛtɔ́,seul dossé peut répondre complètement à notre désir de bonheur,1
e cí kpɔnnyɔɔ̀,c'est complètement pourri,-1
é fá bì tyɛ́tyɛ́,c'est complètement froid pour la pâte,0
é flí zɛ̀n ɔ́ xwè,il a renversé la jarre complètement,-1
e jɛ́ mɛ̀ bĭ,il est complètement rétabli,1
é tlú lanmɛ n'í bĭ,il est complètement abattu,-1
é vɔ̀ bì klókló,c'est terminé complètement,0
ɛɛn un fɔn bi,oui je me suis réveillé complètement,1
tɔ́ cé kpò kàn bĭ,mon père a complètement vieilli,0
un ɖè nùkún bì sín agɔ̀ ɔ́ mɛ̀,j'ai vidé complètement le grenier,0
un vɔ̀ găn bĭ,je suis complètement épuisé,-1
a na sɔ́ gi gɔ́ ná,tu compléteras avec de l'akassa,1
alɔ towe ɖíè,mes compliments,1
e gɛ́dɛ́ dín,c'est très compliqué,-1
nukanbyɔ ɖe wɛ bo vɛ wu nu mi tawun,c'est une question trop compliquée pour moi,-1
e gɛ́dɛ́ xó ɔ́,il a compliqué l'affaire,-1
é blá axɔ́sú tɔ́n gbé,il complote contre son roi,-1
jezú kɛ́ntɔ́ lɛ́ blá gbĕ tɔ̀n,les ennemis de jésus ont comploté contre lui,-1
mì nà blá sé tɔ̀n,nous allons comploter contre lui,-1
yĕ ɖò xó blá ɖɔ̀ wù cé wɛ̀,ils complotent contre moi,-1
jijɔ tɔn nyɔ́,il a un bon comportement,1
ninɔmɛ tɛ́ wɛ̀ a ɖò ná ɖó ɖò togun nɛ́ ɔ́ mɛ̀,quel sera ton comportement dans ce peuple,0
é nɔ́ zán jujɔ nyanya,il se comporte mal,-1
a mɔ nu jɛ mɛ à,as-tu compris,0
a mɔ̀ nù jɛ́ mɛ̀ ɖĕbŭ ă,tu n'as pas compris,0
a sè gànjí,tu comprends bien,1
ayi tɔn gɛ́dɛ́ dó mì,je ne le comprends pas,-1
é dɔ́ fɔngbe ɔ́ xúxú tɔ̀n,il a parlé un fon trop difficile à comprendre,0
é sè ă,il ne comprend pas,-1
e sìxú mɔ̀ nù jɛ́ mɛ̀ ganjí ă,on ne peut pas bien comprendre,-1
eo un mɔ nu jɛ mɛ ă,non je ne comprends pas,-1
étɛ́ mɛ̀ a mɔ̀ nŭ jɛ̀,qu'as-tu compris,0
un d'ayì xó ɔ́ mɛ̀,j'ai cherché à comprendre l'affaire,1
un ma se nɛ́,je n'ai pas compris,-1
un mɔ nu jɛ mɛ a,je ne comprends pas,-1
a na mì atínkɛ́n élɔ́,tu avaleras ce comprimé,0
a ɖu sù nú mì,tu n'as pas tenu compte de mes habitudes,0
é ɖó adingban dó kɔ nú mì,il a menti sur mon compte,-1
e ná sún sín tɔ̀n,il rendra compte,0
é sɔ gbè,le compte y est,1
lɛ̆n akɔ́nta ɔ́,fais tes comptes,1
lùlú á ɖé à,tu te rends compte de ce que tu dis,-1
un na ɖó gbe tɔn nú wè,je vais t'en rendre compte,1
a xà akwɛ́ ɔ́ à,as-tu compté l'argent,0
azan 365 wɛ ɖo xwe ɖokpo mɛ,une année compte trois cent soixante-cinq jours,0
e ɖɔ̀ dandan nú zògbàdé ă,on ne peut jamais compter sur le maïs de la petite saison des pluies,-1
gbetɔ jiɖe nɔ,un homme sur qui compter,1
ma lɛn kpɔ́n,sans compter,1
e ɖe kwin nu timati lɛ bo ja ye,les tomates sont épépinées et concassées,-1
gbɛtɔ livi tɛnwe ɖie mɛ,des millions de personnes sont concernées,0
e ɖú wè,cela te concerne,0
e kan wè,cela te concerne,0
é vá dó wù cé ă,cela ne me concerne pas,0
ye yi concert,elles allaient au concert,1
xwe gbe sin kɔxota,la cour de la concession,0
é ɖɔ̀ émí ná wá ɖ'éjí,il a dit qu'il viendrait comme conclu,0
étɛ́ jí é ká sí te dó,quelle est la conclusion,0
mì nà hwlɛ́n agbà,nous ferons un concours,1
é wlí alɔ̀ ă é d'asú yayá,elle n'a pas fait son mariage à l'église elle vit en concubinage,0
yĕ ɖò atɛ ci wɛ̀,ils se font de la concurrence,0
un ba hwɛ nɛ xo ajotɔ enɛ ɔ,je veux que ce voleur soit condamné,1
hwɛ tɛ́ wɛ́ wlí ì,quel tribunal l'a condamné,0
yè ɖó hwɛ n'í bó kán kwɛ́ n'í b'ɛ́ ná sú,on l'a condamné à une amende,-1
xá nu ji,vends-moi du condiment nété,0
é ɖó alɔkpa ɖé bɔ̀ a na bló,il y a une condition,0
kú dó nùwámɛ,mes condoléances,0
mi kú lɔ̀jŭ,mes condoléances,0
kɛkɛvikuntɔ ɔ ɖo xo ɖɔ nu sɔ tɔn lɛ wɛ bo nɔ na ye akɔnkpikpan ɖo kpo fifan mɛ,le conducteur de la charrette parle à ses chevaux et les encourage dans la montée,1
arinɔla kun mɔto,arinola a conduit une voiture,1
e nɔ́ zán jijɔ ɖagbe,il se conduit bien,1
kanlinnyitɔ ɔ ɖo nyibu tɔn lɛ kun yi tɔ to wɛ,le fermier conduit les boeufs à la rivière,1
mi xwe do mi na kpla mi yi,suivez-moi je vais vous y conduire,1
nɔvi ce nɔ hun mɔto elɔ ɖayi,mon frère conduisait cette voiture,0
nù nɛ́ a blo ɔ́ é gblé xomɛ nú mì,ta conduite m'a fâché,-1
un xwlé nú măwŭ,je confesse à dieu,1
a do jiɖe do wutu tɔn à,est-ce que tu lui fais confiance,0
e ɖò măwù ylɔ́ wɛ́ kpó jiɖide kpán,il appelle son dieu avec confiance,1
e nɔ́ ná adɔgbugbó kpódó jiɖiɖe kpán mĭ ɖɔ̀,il nous rassure et nous dit d'avoir confiance,1
măwŭ wɛ̀ un kpɛnzɔ̀n,c'est en dieu que j'ai mis ma confiance,1
mĭ kpanzɔ̀n măwŭ,nous mettons notre confiance en dieu,1
un ɖò jiɖe dó wŭ tɔ̀n ă,je n'ai pas confiance en lui,-1
un kpɛnzɔ̀n wŭ wè,j'ai confiance en toi,1
e jó éɖé n'í,il se confia à lui,1
sɔ́ akwɛ ce nú mi bó,confie-moi donc l'argent,0
un ɖò măwù gbè xó wɛ̀,je me confie à dieu,1
un sɔ́ vì ɔ́ d'ásí n'í,je lui ai confié l'enfant,1
un zé vĭ d'ásí nú wè,je te confie mon enfant,1
un ná tɛ̀ ɖɛ̀ xó élɔ́ jí,je confirmerai cette parole,1
é sɔ́ pié dé ylɔ́ jan,il a confondu pierre avec jean,0
e gán jɛ̀ azinkpo mɛ̀,il s'est installé confortablement sur son siège,1
winnyá hú mì,je suis confus,-1
é gbɔ́jɛ́ ɖ'álɔ té,il a terminé son congé,0
un ɖò gbɔjɛ́ mɛ̀,je suis en congé,1
un yi gbɔjɛ́ azăn'tɔ̀n,j'ai eu trois jours de congé,1
é dán mɛ,il a perdu connaissance,-1
fí e un nyɔ́ àyì jɛ̀ ɔ énɛ́ zàn kú dó mí ɖé nɛ́,c'est là que s'arrête ma connaissance au-delà c'est la nuit pour moi voilà tout ce que je connais,0
a túun bɛɛlɛn wɛ a,connais-tu berlin,0
đo hɛnnu ɖaxo lɛ mɛ ɔ mɛ bi tuuntuun nɔ vɛ wu,dans les grandes familles il est difficile de connaître tout le monde,0
e gbà éɖéé dó,il se fit connaître,1
fa ɔrun mila,fa dieu qui connaît l'avenir,0
lĕe tɔ́ cé túwun mì ɔ mɔ̆ nyɛ lɔ́ túwun tɔ́ cè,comme mon père me connaît ainsi je connais mon père,1
un sii tuun nyi towe a,puis-je connaître ton nom,1
vodún tɛ́ a nɔ sɛ̀n,a quel vodoun es-tu consacré,0
é ɖò jéjéjé jí,il n'a pas la conscience tranquille,-1
e ɖò xɛsi jí,il n'a pas la conscience tranquille,-1
kéjé ayi towe kpɔ́n,examine ta conscience,0
e nɔ́ w'azɔ̀ kpód'áyi kpán,il travaille consciencieusement,1
lɛngbɔvi kpɛvi ɖokpo nɔ se nukplɔn mɛ nɔ tɔn a,une jeune chèvre n'écoutait pas les conseils de la mère,-1
nu a se nukplɔn mɛ ce ɔ,si tu suis mon conseil,0
